Age,Gender,MaritalStatus,Education,Occupation,MonthlyIncomeINR,City,Organization,EventsAttendedAnnually,VisitReason,FirstVisit,EventDiscovery,RegistrationMode,PreferredEventType,HoursSpent,TravelDistance,AttendingWith,ParticipationFrequency,SpendPerVisitINR,PremiumSeatingInterest,BundlePreference,NetworkingInterest,FoodPreferences,MaxFoodSpendINR,SponsorOrExhibitorInterest,CoWorkingInterest,PostEventPartyInterest,Importance_Parking,Importance_Restrooms,Importance_Accessibility,Importance_WiFi,Importance_Signage,Importance_Security,Importance_Seating Comfort,Importance_Cleanliness,Experience_Mobile App,Experience_Digital Ticketing,Experience_Interactive Screens,Experience_Live Streaming,OverallCleanlinessRating,StaffHelpful,NavigationEasy,UsedCloakRoom,UseMobileApp,UsedPublicTransport,SocialMediaPostIntent,ReadReviews,LivePollParticipation,SharePreferencesForPersonalization,NewsletterSubscription,RecommendJioWorldCentre,OverallSatisfaction,ChallengesFaced,MainConcern,RegPaymentIssue,SustainabilityImportance,Suggestions,AdditionalFacilities,ContactConsent,Email
39,Male,Single,Postgraduate,Corporate,58388,Bangalore,Infosys,3,Exhibition,Yes,Social Media,Online,Art & Culture,1.9,Within city,Alone,Monthly,4484,Maybe,Parking,No,Vegan,1713,No,No,Maybe,5,5,4,3,3,4,3,4,4,4,4,5,4,Yes,Yes,No,Maybe,No,No,Always,Yes,No,Yes,7.0,7.0,"Waiting Time,Accessibility",COVID-19,No,2,,,No,
46,Female,Married,Graduate,Corporate,106148,Mumbai,College,3,Conference,Yes,Social Media,Online,Academic,4.3,50-100km,Friends,Annually,4023,No,Event + Food,No,"Vegan,Quick snacks",994,No,No,No,3,4,5,5,3,3,5,4,4,4,4,4,5,Somewhat,Yes,No,Yes,No,No,Never,Yes,No,No,6.0,4.0,Parking,Crowds,Yes,4,,,No,
33,Female,Single,Graduate,Corporate,140817,Pune,Other,1,Performance,No,Other,Online,Industry,1.9,Within city,Friends,Annually,2044,Maybe,Event + Food,Yes,Vegan,1332,No,No,Maybe,4,5,5,5,3,4,3,3,4,4,5,3,5,No,Yes,No,Yes,Yes,No,Sometimes,No,Yes,No,6.0,10.0,Waiting Time,Crowds,No,2,,,No,
22,Female,Married,Graduate,Entrepreneur,34270,Chennai,Infosys,5,Exhibition,Yes,Other,Through organization,Family,2.6,Within city,Friends,Rarely,17213,Yes,Networking Access,No,"Continental,Vegan",2879,No,No,Maybe,5,5,5,3,3,4,4,5,3,3,4,3,3,Yes,Yes,No,Maybe,Yes,No,Never,Yes,Yes,No,8.0,6.0,"Seating,Other,Food Quality",Crowds,No,4,,,No,
30,Female,Married,Graduate,Entrepreneur,40228,Pune,Reliance,2,Exhibition,No,Social Media,Online,Art & Culture,5.2,Outstation,Alone,Quarterly,2667,Yes,Parking,No,Asian,457,Yes,Yes,No,3,4,4,4,5,4,4,5,3,3,3,3,4,Yes,Yes,No,Yes,Yes,No,Never,Yes,Yes,Yes,9.0,6.0,"Seating,Accessibility",COVID-19,No,3,,,Yes,
34,Male,Married,Graduate,Corporate,202074,Delhi,Other,1,Exhibition,Yes,Social Media,Online,Entertainment,1.8,Within city,Friends,Annually,3581,No,None,Yes,"Indian,Vegan,No preference",3106,Yes,No,Maybe,4,5,5,5,4,4,4,4,4,3,3,5,3,Somewhat,Yes,Yes,Yes,Sometimes,No,Sometimes,Yes,No,Yes,9.0,10.0,Other,Facilities,No,4,,,Yes,
43,Male,Married,Postgraduate,Academic,158107,Mumbai,Startup,5,Performance,Yes,Other,Through organization,Industry,6.3,Within city,Friends,Annually,9248,No,Networking Access,No,"Asian,No preference",2019,Maybe,Maybe,No,3,5,5,3,5,5,4,3,1,5,2,4,5,Yes,Yes,No,Maybe,Yes,Yes,Sometimes,Yes,No,Yes,6.0,8.0,Tech Issues,Safety,No,3,,,No,user3188@mail.com
26,Female,Single,Graduate,Academic,114139,Chennai,Other,5,Meeting,Yes,Word of Mouth,Online,Other,2.1,Within city,Alone,Monthly,7129,No,Event + Food,No,"Asian,Quick snacks,No preference",2127,No,No,No,3,5,5,4,4,4,3,4,4,4,4,4,3,Yes,Yes,No,No,Yes,Maybe,Sometimes,No,No,No,9.0,8.0,"Signage,Waiting Time",COVID-19,No,5,,,No,
26,Male,Single,Graduate,Entrepreneur,49292,Bangalore,Startup,4,Conference,No,Word of Mouth,Online,Art & Culture,5.2,Within city,Alone,Quarterly,4651,Yes,Parking,Yes,"Vegan,Quick snacks",1328,No,No,Yes,4,5,4,3,4,4,5,4,4,4,5,4,5,Somewhat,Yes,Yes,Yes,Sometimes,Yes,Sometimes,Yes,Maybe,Yes,10.0,8.0,Tech Issues,Pricing,No,2,,,No,user2564@mail.com
44,Female,Married,Other,Academic,82254,Mumbai,TCS,4,Exhibition,Yes,Social Media,Online,Art & Culture,5.5,Within city,Family,Annually,8755,No,VIP Perks,Yes,"Gluten-free,No preference,Quick snacks",384,No,Maybe,Maybe,3,5,4,5,5,5,5,5,4,3,3,4,4,No,Yes,No,Yes,Sometimes,Yes,Never,Yes,No,Yes,10.0,7.0,"Accessibility,Tech Issues,Signage",Crowds,No,5,,,No,
29,Female,Married,Graduate,Corporate,29694,Other,TCS,2,Conference,No,Social Media,At venue,Industry,1.7,Within city,Friends,Annually,5197,Maybe,Event + Food,No,"Continental,Indian,Gluten-free",1312,No,Yes,No,4,5,4,4,4,5,3,4,4,4,3,3,5,Yes,Yes,Yes,Yes,Yes,No,Always,No,Yes,No,8.0,10.0,"Tech Issues,Food Quality",Facilities,No,4,,,No,
43,Male,Single,Graduate,Academic,127812,Chennai,Infosys,3,Performance,No,Ad,Online,Industry,2.8,Outstation,Colleagues,Annually,3302,No,None,Yes,Vegan,2025,Yes,No,No,4,4,3,3,5,4,2,4,3,2,4,4,3,Yes,Yes,Yes,No,No,No,Sometimes,Yes,No,Yes,8.0,5.0,"Food Quality,Tech Issues",Facilities,No,2,,,No,
39,Female,Married,PhD,Corporate,197534,Mumbai,College,0,Meeting,Yes,Corporate,Online,Industry,4.7,Within city,Alone,Rarely,3924,No,Event + Food,Yes,"Quick snacks,Vegan,Asian",835,No,No,Yes,4,4,5,4,5,4,3,4,4,4,3,3,5,Yes,No,Yes,No,No,No,Sometimes,No,Yes,Yes,8.0,7.0,"Waiting Time,Other,Accessibility",Facilities,No,4,,,Yes,
20,Female,Single,Postgraduate,Corporate,77864,Chennai,TCS,2,Conference,Yes,Email,Online,Academic,6.0,50-100km,Alone,Quarterly,10295,No,Event + Food,No,"Vegan,Indian",1075,No,No,Yes,4,5,4,4,4,4,5,1,3,3,3,3,4,Yes,Yes,No,Yes,No,Yes,Sometimes,Yes,Yes,Yes,5.0,8.0,Tech Issues,Facilities,No,3,,,Yes,
48,Male,Single,Other,Corporate,149142,Ahmedabad,Not Disclosed,2,Meeting,Yes,Other,Online,Industry,3.9,Within city,Alone,Annually,7953,No,None,No,"Gluten-free,Continental,No preference",773,No,Yes,Maybe,3,5,5,3,4,2,4,3,5,3,5,3,5,Yes,Yes,No,Yes,No,Maybe,Sometimes,Yes,Maybe,Yes,8.0,8.0,"Tech Issues,Waiting Time,Accessibility",Facilities,No,3,,,No,
36,Female,Married,Graduate,Corporate,114937,Other,Reliance,2,Performance,No,Word of Mouth,Online,Entertainment,5.1,Within city,Colleagues,Rarely,1729,Yes,VIP Perks,No,"Indian,Continental",4373,No,Yes,Yes,4,4,3,5,4,2,5,4,5,2,3,3,5,No,Yes,No,Yes,No,Maybe,Sometimes,No,Yes,Yes,7.0,10.0,Food Quality,Facilities,Somewhat,3,,,Yes,
32,Male,Married,Graduate,Artist,148170,Mumbai,Startup,1,Meeting,No,Email,Other,Academic,4.4,Within city,Alone,Annually,11221,No,Networking Access,No,"Continental,Indian",1520,Maybe,No,Maybe,2,3,4,5,3,4,5,3,5,4,4,3,5,Yes,Yes,Yes,Maybe,No,No,Sometimes,Yes,No,No,10.0,10.0,Accessibility,Crowds,Yes,5,,,No,
42,Male,Single,Postgraduate,Entrepreneur,91056,Mumbai,TCS,3,Conference,Yes,Corporate,Online,Academic,5.8,Outstation,Family,Quarterly,3670,No,Event + Food,No,"Gluten-free,Asian,Indian",304,No,No,Yes,3,4,4,4,3,2,5,3,3,2,4,5,5,Yes,Somewhat,Yes,Yes,No,Yes,Sometimes,Yes,Yes,Yes,10.0,8.0,"Other,Accessibility",COVID-19,No,5,,,No,
33,Male,Single,Graduate,Corporate,41496,Delhi,Startup,3,Conference,No,Social Media,Through organization,Industry,4.1,Within city,Family,Quarterly,5658,No,Networking Access,Yes,No preference,3264,No,Yes,Yes,5,5,4,5,5,4,3,3,5,4,5,4,4,Yes,Somewhat,No,Maybe,No,Yes,Always,No,No,No,8.0,10.0,"Waiting Time,Seating,Food Quality",Pricing,No,4,,,No,
18,Male,Single,Graduate,Corporate,87806,Mumbai,TCS,6,Conference,Yes,Social Media,Through organization,Other,2.4,Within city,Alone,Annually,5743,Yes,Parking,No,Continental,1814,No,No,No,3,3,3,4,3,5,4,3,5,3,2,2,4,Somewhat,No,No,Maybe,No,No,Sometimes,No,Yes,No,3.0,8.0,"Waiting Time,Accessibility,Other",Pricing,No,3,,,No,
33,Male,Married,High School,Student,84709,Chennai,Infosys,3,Performance,Yes,Word of Mouth,Online,Entertainment,6.2,Within city,Colleagues,Quarterly,3586,No,Parking,No,"Vegan,Gluten-free,Asian",448,No,No,No,5,4,4,5,4,4,2,4,5,3,5,2,3,Yes,Yes,No,Maybe,No,No,Sometimes,Yes,Yes,No,10.0,10.0,Waiting Time,Safety,No,3,,,Yes,
21,Female,Married,Postgraduate,Corporate,46649,Pune,Infosys,6,Exhibition,No,Corporate,Online,Industry,6.7,Within city,Other,Rarely,9770,No,Event + Food,No,"Vegan,Quick snacks",1351,No,Yes,Yes,3,5,4,5,4,5,4,3,4,3,4,3,5,Yes,Yes,Yes,Yes,No,Maybe,Always,Yes,Yes,No,10.0,10.0,Waiting Time,Other,Somewhat,5,,,Yes,
33,Male,Single,Postgraduate,Academic,93784,Pune,College,1,Performance,No,Corporate,At venue,Entertainment,6.3,Within city,Colleagues,Annually,8230,Yes,Event + Food,No,Vegan,1385,No,Yes,Yes,4,3,3,4,4,4,5,5,4,5,4,5,4,Yes,Yes,No,Yes,No,No,Always,No,No,No,10.0,8.0,"Accessibility,Signage",Pricing,Somewhat,4,,,No,
54,Male,Single,Postgraduate,Student,68347,Delhi,Infosys,1,Meeting,No,Other,Online,Academic,7.1,Within city,Colleagues,Rarely,5300,No,Event + Food,Yes,"Continental,Quick snacks,Vegan",515,Maybe,No,Yes,5,4,5,5,4,4,3,2,3,2,4,4,4,No,Yes,No,Yes,Yes,Maybe,Never,Yes,No,No,9.0,7.0,"Waiting Time,Accessibility",Facilities,No,4,,,Yes,
26,Female,Single,Postgraduate,Corporate,170183,Ahmedabad,Other,4,Conference,Yes,Word of Mouth,Online,Other,3.5,Within city,Family,Annually,3876,Yes,VIP Perks,No,Continental,4729,No,Yes,No,3,5,3,3,4,4,4,5,4,4,1,4,4,Yes,Yes,No,Maybe,Yes,Maybe,Sometimes,No,No,No,5.0,8.0,"Tech Issues,Other",Safety,No,3,,,No,
45,Female,Married,Postgraduate,Entrepreneur,94981,Bangalore,Reliance,2,Conference,No,Word of Mouth,Online,Other,6.2,Outstation,Alone,Quarterly,3867,Maybe,VIP Perks,No,Gluten-free,1042,No,Yes,Maybe,5,3,3,4,4,5,3,5,4,4,3,5,4,Yes,Yes,Yes,Yes,Sometimes,Yes,Never,No,Yes,Yes,8.0,8.0,Signage,Crowds,Yes,4,,,Yes,user3049@mail.com
30,Female,Single,Postgraduate,Corporate,29327,Mumbai,Infosys,4,Performance,No,Social Media,At venue,Entertainment,5.3,Within city,Alone,Annually,6087,Yes,VIP Perks,No,"Indian,Vegan",1821,No,Maybe,No,5,4,5,5,4,5,4,4,3,4,5,4,5,Somewhat,Yes,No,Yes,Sometimes,Yes,Sometimes,No,Yes,No,7.0,9.0,"Waiting Time,Tech Issues",Facilities,No,1,,,No,
35,Male,Married,PhD,Entrepreneur,94173,Other,Not Disclosed,3,Conference,Yes,Social Media,Other,Entertainment,4.7,Within city,Alone,Annually,3792,Maybe,Event + Food,Yes,"Continental,Asian,No preference",234,No,No,Yes,5,4,4,5,5,4,3,2,5,3,4,5,5,Yes,No,No,No,Sometimes,Yes,Sometimes,Yes,No,No,9.0,9.0,"Accessibility,Seating,Parking",COVID-19,No,5,,,Yes,
41,Male,Married,Graduate,Student,137506,Mumbai,Reliance,3,Exhibition,No,Corporate,Through organization,Entertainment,3.2,Within city,Colleagues,Quarterly,3844,No,Event + Food,No,"Quick snacks,No preference,Indian",2030,No,No,Yes,3,3,5,4,5,5,3,2,2,4,4,4,5,Yes,Yes,Yes,Yes,No,No,Sometimes,Yes,Maybe,No,8.0,7.0,"Tech Issues,Accessibility,Seating",Pricing,No,2,,,No,
51,Male,Married,Graduate,Other,141826,Bangalore,TCS,5,Performance,No,Word of Mouth,Online,Industry,3.6,Within city,Alone,Quarterly,6578,Yes,Event + Food,No,"Gluten-free,Vegan",3634,No,Maybe,Maybe,5,3,5,5,5,3,4,5,3,2,4,4,5,Yes,Yes,No,No,Yes,Maybe,Never,No,No,No,7.0,6.0,"Waiting Time,Parking",Crowds,No,4,,,No,user3531@mail.com
27,Female,Single,Postgraduate,Academic,76291,Other,Infosys,7,Conference,No,Social Media,Other,Art & Culture,5.3,International,Alone,Quarterly,7416,No,VIP Perks,Yes,Quick snacks,1052,No,No,Yes,3,4,4,4,5,4,4,5,2,4,3,3,4,Yes,Yes,No,Yes,No,No,Sometimes,Yes,No,No,7.0,9.0,"Seating,Accessibility",Facilities,No,4,,,Yes,
36,Male,Married,Postgraduate,Student,63861,Bangalore,TCS,3,Meeting,No,Social Media,Online,Entertainment,7.2,50-100km,Alone,Annually,1449,No,None,No,Continental,2920,No,No,Yes,3,5,4,3,1,4,4,4,3,4,4,3,4,Yes,Yes,Yes,Yes,No,No,Sometimes,No,Yes,No,8.0,7.0,Waiting Time,Facilities,No,4,,,Yes,user2025@mail.com
44,Female,Single,Graduate,Entrepreneur,48629,Mumbai,TCS,1,Conference,No,Ad,Online,Entertainment,0.9,Within city,Alone,Annually,10043,Yes,VIP Perks,Yes,"Vegan,Continental,Gluten-free",1139,No,No,No,4,4,4,5,4,4,4,4,2,1,3,5,5,Yes,No,Yes,Yes,Yes,Yes,Never,Yes,No,No,10.0,10.0,"Other,Accessibility,Tech Issues",Pricing,No,2,,,Yes,user1995@mail.com
27,Female,Married,Postgraduate,Academic,47057,Other,Reliance,4,Conference,Yes,Social Media,Through organization,Industry,4.5,Within city,Alone,Rarely,2937,No,VIP Perks,Yes,Asian,1007,No,Yes,No,5,5,4,5,3,5,4,4,4,4,3,2,4,Somewhat,Yes,No,No,Yes,No,Never,No,No,Yes,10.0,7.0,"Waiting Time,Other,Food Quality",Pricing,No,2,,,No,
43,Male,Single,High School,Corporate,276488,Pune,Reliance,2,Conference,No,Ad,Online,Other,4.5,Within city,Colleagues,Annually,4563,No,None,No,Asian,463,No,No,Maybe,4,5,2,3,4,4,4,3,5,3,2,3,4,Yes,Yes,No,Yes,No,No,Sometimes,No,Yes,Yes,9.0,8.0,Tech Issues,Pricing,Yes,4,,,No,user2069@mail.com
27,Female,Single,Other,Student,163440,Mumbai,Startup,3,Conference,No,Word of Mouth,Online,Industry,5.2,50-100km,Family,Annually,7721,Yes,Networking Access,No,"Continental,Asian",2402,No,No,Yes,4,4,3,5,4,4,4,4,3,2,5,4,5,Yes,Yes,Yes,Yes,Sometimes,No,Sometimes,Yes,Yes,No,8.0,9.0,Tech Issues,Pricing,Somewhat,2,,,No,
41,Female,Married,Graduate,Corporate,85134,Other,Startup,2,Conference,No,Email,Online,Entertainment,4.0,Within city,Colleagues,Annually,3331,No,Event + Food,No,"Vegan,Indian,No preference",1054,No,No,Yes,3,5,3,3,4,5,5,5,4,3,5,4,4,Somewhat,No,Yes,Yes,No,Maybe,Never,No,Yes,Yes,8.0,4.0,"Seating,Tech Issues",Safety,No,3,,,No,
33,Female,Single,Graduate,Entrepreneur,254332,Mumbai,Other,4,Exhibition,No,Social Media,Online,Other,6.5,Within city,Colleagues,Annually,3258,Yes,Event + Food,No,"Vegan,No preference,Quick snacks",1212,No,No,Maybe,5,2,5,4,5,5,5,4,3,5,2,4,4,Yes,Yes,Yes,Maybe,Yes,Yes,Always,Yes,Yes,No,7.0,9.0,Accessibility,Facilities,No,1,,,Yes,
32,Male,Single,Graduate,Student,125297,Mumbai,TCS,4,Exhibition,Yes,Word of Mouth,Online,Entertainment,8.2,Outstation,Friends,Rarely,4752,No,VIP Perks,Yes,Gluten-free,509,No,Maybe,Maybe,5,4,5,3,4,5,4,4,5,3,1,4,5,No,Yes,No,Yes,No,No,Sometimes,Yes,No,No,10.0,7.0,"Parking,Other,Tech Issues",Pricing,No,5,,,No,
43,Male,Single,Graduate,Corporate,26104,Chennai,Startup,7,Conference,No,Email,Online,Entertainment,3.0,Outstation,Colleagues,Quarterly,2961,No,Event + Food,Yes,Continental,1393,No,No,Yes,3,4,2,5,5,4,4,5,4,5,4,2,3,Yes,Yes,No,Yes,No,No,Sometimes,No,Maybe,No,10.0,7.0,"Waiting Time,Food Quality,Other",COVID-19,Yes,3,,,No,
41,Male,Single,Graduate,Corporate,51060,Hyderabad,Not Disclosed,4,Conference,Yes,Other,At venue,Family,5.6,International,Colleagues,Quarterly,7144,No,Event + Food,No,"Quick snacks,No preference,Indian",1670,Yes,No,No,4,4,4,4,3,5,3,4,4,3,2,4,4,Yes,Somewhat,No,No,No,No,Sometimes,Yes,No,No,9.0,9.0,Signage,Crowds,No,5,,,Yes,
29,Female,Married,Graduate,Other,26497,Mumbai,Startup,4,Banquet,Yes,Social Media,Online,Entertainment,5.9,Within city,Alone,Annually,4590,No,Parking,Yes,"Continental,Quick snacks,Vegan",721,No,No,Maybe,2,4,3,4,5,4,4,3,2,3,4,4,4,Yes,Yes,No,No,No,No,Never,Yes,Yes,Yes,10.0,3.0,Accessibility,COVID-19,No,5,,,Yes,user3193@mail.com
33,Male,Married,Graduate,Student,72570,Mumbai,Other,3,Conference,No,Word of Mouth,At venue,Entertainment,6.5,Outstation,Friends,Rarely,7215,No,None,Yes,Quick snacks,1145,No,No,Yes,4,4,4,3,5,4,4,3,4,4,2,4,3,Yes,Yes,No,Maybe,Yes,No,Never,Yes,No,Yes,7.0,7.0,Tech Issues,Pricing,No,3,,,Yes,
43,Male,Single,Graduate,Corporate,95685,Delhi,Not Disclosed,3,Conference,Yes,Email,Through organization,Entertainment,1.4,Within city,Alone,Annually,4927,Yes,Parking,Yes,Asian,2132,Yes,Yes,No,3,3,5,5,4,4,5,4,2,3,2,3,4,Yes,No,No,Yes,No,Yes,Sometimes,No,Yes,Yes,8.0,4.0,"Other,Tech Issues,Accessibility",Crowds,No,5,,,No,
40,Male,Single,Postgraduate,Artist,135318,Mumbai,College,3,Exhibition,No,Social Media,Through organization,Industry,2.6,Within city,Alone,Rarely,4355,No,Networking Access,Yes,"Gluten-free,Continental",2055,No,No,Maybe,5,4,2,3,3,4,5,4,5,3,4,4,5,Yes,Yes,Yes,No,Sometimes,Yes,Sometimes,Yes,No,No,10.0,8.0,"Tech Issues,Food Quality,Seating",Pricing,No,4,,,No,user1454@mail.com
27,Male,Single,Postgraduate,Academic,102790,Mumbai,Other,2,Meeting,No,Ad,Online,Entertainment,4.2,Within city,Alone,Annually,3504,No,None,No,Asian,1650,No,No,No,5,3,5,4,4,3,4,4,5,2,3,5,5,Yes,Somewhat,No,Yes,No,Yes,Never,Yes,Yes,No,4.0,4.0,"Food Quality,Other",Pricing,No,3,,,No,
29,Other,Single,Graduate,Corporate,89065,Chennai,Not Disclosed,1,Conference,No,Social Media,Online,Family,2.0,Within city,Friends,Annually,2110,Maybe,Parking,No,Asian,966,No,No,No,5,5,4,4,3,4,4,4,3,3,5,4,5,Yes,Yes,No,No,Yes,Yes,Sometimes,No,No,No,8.0,8.0,Signage,Pricing,No,1,,,No,
27,Male,Married,Graduate,Corporate,83201,Delhi,TCS,2,Meeting,No,Corporate,At venue,Entertainment,7.5,Within city,Friends,Quarterly,6241,Yes,Event + Food,Yes,"Quick snacks,Indian",852,Maybe,Maybe,Yes,4,5,4,4,4,5,3,4,2,3,3,3,4,Yes,Yes,Yes,Yes,No,No,Always,No,Yes,No,9.0,8.0,"Food Quality,Signage",Facilities,Yes,4,,,Yes,
30,Female,Married,Other,Corporate,87876,Pune,TCS,1,Conference,Yes,Social Media,Online,Entertainment,4.1,International,Colleagues,Quarterly,5212,Maybe,None,Yes,"Vegan,Quick snacks,No preference",811,No,No,Yes,4,4,4,4,4,4,5,5,1,4,3,3,4,Yes,Yes,No,Yes,Sometimes,Yes,Sometimes,No,No,Yes,10.0,10.0,"Waiting Time,Signage,Parking",Pricing,Somewhat,1,,,No,
34,Female,Married,Graduate,Other,46998,Mumbai,Startup,2,Banquet,Yes,Social Media,At venue,Entertainment,1.6,Within city,Colleagues,Quarterly,1442,Yes,Event + Food,No,Indian,664,Maybe,No,Yes,2,4,3,3,3,5,3,3,4,4,4,4,5,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Yes,Yes,Yes,7.0,7.0,"Signage,Other",Facilities,No,3,,,No,
56,Female,Single,Graduate,Student,55610,Delhi,College,3,Banquet,Yes,Word of Mouth,Online,Art & Culture,4.6,Within city,Alone,Quarterly,4582,Yes,Event + Food,Yes,"Vegan,Asian",612,No,No,Maybe,4,3,3,4,5,5,3,4,2,4,3,4,4,Yes,Yes,No,Yes,No,No,Sometimes,No,Yes,No,10.0,9.0,"Other,Tech Issues,Accessibility",COVID-19,Yes,2,,,No,
48,Female,Married,PhD,Corporate,69076,Other,Not Disclosed,3,Conference,No,Corporate,Online,Industry,3.3,Within city,Family,Annually,9213,No,Event + Food,No,"Vegan,No preference,Continental",3684,No,No,No,4,5,4,5,5,5,5,5,4,4,3,5,5,Somewhat,Yes,Yes,Yes,No,Maybe,Sometimes,No,No,No,7.0,8.0,Tech Issues,Pricing,No,2,,,Yes,
40,Male,Married,Graduate,Student,112130,Chennai,Not Disclosed,1,Conference,No,Social Media,Online,Entertainment,0.7,Within city,Friends,Monthly,11588,No,VIP Perks,No,Quick snacks,3324,No,Yes,No,5,4,4,3,5,4,4,4,4,4,5,4,4,Somewhat,Yes,Yes,No,Yes,No,Sometimes,No,Yes,No,7.0,3.0,Waiting Time,Other,Somewhat,4,,,No,
